RANK	NAME	INSTITUTION	H-INDEX	CITATIONS
226	K Bloom	University of Nebraska Lincoln	116	62630
227	Paul Kyberd	Brunel University	116	61590
228	Garret A FitzGerald	University of Pennsylvania	116	60787
229	Joao Guimaraes da Costa	Harvard University	116	60149
230	John W Hutchinson	Harvard University	116	57347
231	George Perry	University of Texas at San Antonio	116	56588
232	David G Harrison	Vanderbilt University	116	52615
233	Riccardo Paoletti	Università di Siena	116	48531
234	Barry Everitt	University of Cambridge	116	47812
235	Mark H Ginsberg	University of California San Diego	116	47177
236	Timothy Billiar	University of Pittsburgh	116	45961
237	John Gabrieli	Massachusetts Institute of Technology MIT	116	45074
238	Jean Tirole	Toulouse School of Economics	115	81511
239	Yifang Chen	Fudan University	115	79979
240	Antonio Lanzavecchia	ETH Zurich	115	69373
241	G Marius Clore	National Institutes of Health NIH	115	60122
242	Jacquelynne Eccles	University of California Irvine	115	58639
243	Andrew Ivanov	Kansas State University	115	57830
244	D Neil Granger	Louisiana State University Health Sciences Center	115	55743
245	Brigid Hogan	Duke University	115	52445
246	stefano lami	Istituto Nazionale di Fisica Nucleare	115	51848
247	Richard J Johnson	University of Washington; Baylor College of Medicine; University of Colorado	115	46713
248	Ron Kikinis	Brigham and Women's Hospital Harvard Medical School	115	45812
249	Antonios G Mikos	Rice University	115	45668
250	Daniel J Jacob	Harvard University	115	41510
251	Klaus Honscheid	Ohio State University	114	97905
252	David Altshuler	Harvard University	114	73058
253	Evan Eichler	University of Washington	114	69669
254	Thomas J R Hughes	University of Texas at Austin	114	65301
255	Manuela Campanelli	Rochester Institute of Technology	114	64175
256	Martin Nowak	Harvard University	114	62989
257	Guanrong Chen	City University of Hong Kong	114	58945
258	Philip S Yu	University of Illinois at Chicago	114	58041
259	Kevin J Tracey	Feinstein Institute for Medical Research	114	55811
260	Jean Pierre Despres	Université Laval	114	53432
261	Don Towsley	University of Massachusetts Amherst	114	49989
262	Craig Hawker	University of California Santa Barbara	114	49389
263	Lorenzo Moretta	Istituto G Gaslini	114	45339
264	Ian T Foster	University of Chicago Argonne National Laboratory	113	90443
265	P M Ajayan	Rice University	113	75916
266	Giovanni Calderini	IN2P3 Universitá di Pisa	113	74891
267	Jia Su Wang	Southwest Jiaotong University	113	66037
268	Richard E Mayer	University of California Santa Barbara	113	65333
269	Luca Lista	Istituto Nazionale di Fisica Nucleare INFN	113	64251
