RANK	NAME	INSTITUTION	H-INDEX	CITATIONS
387	Meinrat Andreae	Max Planck Institute for Chemistry	106	49974
388	Sandro De Cecco	Université Diderot Paris7 LPNHE Paris	106	49643
389	William S Lane	Harvard University	106	48939
390	D Blazer	Duke University	106	46928
391	David Grahame Hardie	University of Dundee	106	45512
392	Joseph Lau	Brown University	106	44072
393	Nancy Eisenberg	Arizona State University	106	41458
394	Jes Olesen	Capital Region Health	106	41335
395	Aaron Hsueh	Stanford University	106	37817
396	Matthias Scheffler	Fritz-Haber-Institut der Max-Planck-Gesellschaft	106	37796
397	Robert I Lehrer	University of California Los Angeles	106	36785
398	Leslie Robison	St. Jude Children's Research Hospital	106	36742
399	Robert J Barro	Harvard University	105	110387
400	David Schlegel	Lawrence Berkeley National Laboratory	105	73821
401	Gunnar von Heijne	Stockholm University	105	70881
402	Richard E Petty	Ohio State University	105	65253
403	Bart De Moor	KU University of Leuven	105	62100
404	Carl Folke	Royal Swedish Academy of Sciences	105	61862
405	Giorgio Parisi	Sapienza Università di Roma	105	60741
406	Karlheinz Meier	Ruprecht-Karls-Universität Heidelberg	105	58127
407	James H Brown	University of New Mexico	105	51660
408	Bruce Yabsley	University of Sydney	105	49068
409	Hermann Wagner	TUM	105	47327
410	Barton F Haynes	Duke University	105	47296
411	René S Kahn	UMC Utrecht	105	47211
412	Robert Wayne Alexander	Emory University	105	45495
413	Stanley J Brodsky	SLAC National Accelerator Laboratory; Stanford University	105	43973
414	Maria Agnese Ciocci	Università di Siena	105	43028
415	Mark van Loosdrecht	Delft University of Technology	105	40444
416	Mary Story	University of Minnesota	105	39659
417	Jeffrey Hubbell	Ecole Polytechnique Fédérale de Lausanne	105	38312
418	Albert László Barabási	Northeastern University Harvard Medical School	104	121434
419	Edward O Wilson	Museum of Comparative Zoology Harvard University	104	91779
420	Linus Pauling	California Institute of Technology	104	79845
421	Sheldon Stone	Syracuse University	104	78631
422	Olgierd Zienkiewicz	Civil Engineering Swansea University	104	74822
423	M Saleem	University of Oklahoma; CERN; UCO	104	56049
424	Attilio Maseri	Heart Care Foundation Onlus	104	55028
425	Pratap Chandra Behera	University of Delhi	104	54235
426	Joseph R Ecker	Salk Institute for Biological Studies	104	51521
427	Concezio Bozzi	Istituto Nazionale di Fisica Nucleare	104	50645
428	Alberto Lusiani	Scuola Normale Superiore di Pisa	104	49525
429	Clive Osmond	University of Cambridge	104	49478
430	Ignazio Lazzizzera	Università di Trento	104	46816
431	Cesar Victora	Universidade Federal de Pelotas; Johns Hopkins University	104	44849
432	D G Evans	 	104	44527
433	Ulrich Hartl	Max Planck Gesellschaft MPG	104	43787
434	Martin Ravallion	Georgetown University	104	42946
435	Hongjiang Zhang	KingSoft	104	41808
436	Joanne Chory	Salk Institute; HHMI	104	41752
437	Stanley Nattel	Medicine Université de Montréal	104	41652
438	John Baron	University of North Carolina at Chapel Hill	104	41531
439	David A Kass	Jhons Hopkins University	104	39956
440	Jean Pierre Jean Issa	Temple University	104	39772
441	Naomi Breslau	Michigan State University	104	36531
442	Savio L Y Woo	University of Pittsburgh	104	35195
443	Angus Nairn	Yale University	104	35126
444	Menachem Elimelech	Yale University	104	33538
445	Robert Merton	Columbia University	103	99603
446	Albert Einstein	Institute of Advanced Studies Princeton	103	86994
447	Jack Dongarra	University of Tennessee at Knoxville; Oak Ridge National Laboratory; University of Manchester	103	76104
448	Stephen Carpenter	University of Wisconsin Madison	103	65679
449	Nick Jennings	University of Southampton	103	56990
450	Anders M Dale	University of California San Diego	103	55438
451	Wilmar Schaufeli	Utrecht University	103	52595
452	James M Tour	Rice University	103	51976
453	Shlomo Havlin	Bar-Ilan University	103	51170
454	Linda Darling Hammond	Stanford University	103	48114
455	Randy L Buckner	Harvard University	103	47374
456	Stanley Rapoport	National Institutes of Health NIH	103	46653
457	Rodney Bartlett	University of Florida	103	46528
458	Emilio Meschi	CERN European Organization for Nuclear Research	103	46099
459	Detlef Weigel	Max Planck Institute for Developmental Biology	103	43145
460	Nicholas P Restifo	National Institutes of Health NIH	103	41918
461	Abass Alavi	University of Pennsylvania	103	41675
462	James Jackson	University of Cambridge	103	41224
463	Federico Capasso	Harvard University	103	40333
464	Robert W McCarley	Harvard Medical School	103	40111
465	Douglas Golenbock	University of Massachusetts Medical School	103	38940
466	Keith Rayner	University of California San Diego	103	38774
467	W Stetler Stevenson	National Cancer Institute	103	37878
468	Carlos F Barbas III	Scripps Research Institute	103	37366
469	Justin Charles Mcarthur	Jhons Hopkins University	103	36375
470	Jon Driver (1962-2011)	University College London	103	33929
471	Henry Mintzberg	McGill University	102	107061
472	Jeffrey Ullman	Stanford University	102	102846
473	Wing To	Case Western Reserve University	102	70854
474	Paul Jackson	University of Adelaide	102	54055
475	Claude Robert Cloninger	Washington University in St. Louis	102	51854
476	David A Case	Rutgers University	102	50877
477	Theodor Haensch	Max Planck Gesellschaft MPG	102	48416
478	Guido Tonelli	Universitat de Pisa	102	48314
479	Stephen Chanock	NIH	102	48167
480	Francesco Forti	Università di Pisa	102	46954
481	Harden M McConnell	Stanford University	102	42963
482	Elliot K Fishman	Johns Hopkins University	102	41723
483	Christine Van Broeckhoven	University of Antwerp	102	41370
484	Leaf Huang	University of North Carolina at Chapel Hill	102	40158
485	Pozzan Tullio	University of Padova	102	39624
486	Sergio Grinstein	Hospital for Sick Children	102	37822
487	John Stankovic	University of Virginia	102	37239
488	Justin C McArthur	Jhons Hopkins University	102	36098
489	Donna Neuberg	Dana-Farber Cancer Institute	102	35507
490	David A Brenner	University of California San Diego	102	34200
491	Raquel Gur	University of Pennsylvania	102	33059
492	Jeff Palmer	Indiana University 	102	30717
493	Richard K Wilson	Washington University in St. Louis	101	90121
